      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
        25  2.500000000000000E+001 -5.645663793893535E-001  1.016314543512821E+000  1.553722273253289E-005  1.091108697019517E+022 -1.091029287018805E+022  9.094028775449370E+020 -4.305365702523952E+020  9.094029036291807E+020 -4.305365963366391E+020  3.989223162302474E+021  3.989223162302476E+021  7.749632616964199E-017  1.444294850469273E-017  7.992007293689394E-007
        26  2.600000000000000E+001 -5.645487736127465E-001  1.016282850057089E+000  1.553890270486747E-005  1.091074669358918E+022 -1.090995259358206E+022  9.093745308121612E+020 -4.305231429535957E+020  9.093745568944353E+020 -4.305231690358705E+020  3.989223162302474E+021  3.989223162302476E+021  5.909633224715441E-017  4.193114082007566E-018  8.312129387075585E-007
        26  2.600000000000000E+001 -5.645487736127465E-001  1.016282850057089E+000  1.553890270486747E-005  1.091074669358918E+022 -1.090995259358206E+022  9.093745308121612E+020 -4.305231429535957E+020  9.093745568944353E+020 -4.305231690358705E+020  3.989223162302474E+021  3.989223162302476E+021  5.909633224715441E-017  4.193114082007566E-018  8.312129387075585E-007
        27  2.700000000000000E+001 -5.645311683851565E-001  1.016251157687395E+000  1.554058269021854E-005  1.091040642759547E+022 -1.090961232758835E+022  9.093461849631124E+020 -4.305097160734387E+020  9.093462110434178E+020 -4.305097421537444E+020  3.989223162302474E+021  3.989223162302476E+021  3.013470464655521E-017 -1.030160126320377E-017  8.632283521056018E-007
        27  2.700000000000000E+001 -5.645311683851565E-001  1.016251157687395E+000  1.554058269021854E-005  1.091040642759547E+022 -1.090961232758835E+022  9.093461849631124E+020 -4.305097160734387E+020  9.093462110434178E+020 -4.305097421537444E+020  3.989223162302474E+021  3.989223162302476E+021  3.013470464655521E-017 -1.030160126320377E-017  8.632283521056018E-007
        28  2.800000000000000E+001 -5.645135637065593E-001  1.016219466402667E+000  1.554226268857419E-005  1.091006617221372E+022 -1.090927207220660E+022  9.093178399977637E+020 -4.304962896119112E+020  9.093178660761000E+020 -4.304963156902477E+020  3.989223162302474E+021  3.989223162302476E+021  2.892001699669108E-017  9.939233379573490E-018  8.952469486836249E-007
        28  2.800000000000000E+001 -5.645135637065593E-001  1.016219466402667E+000  1.554226268857419E-005  1.091006617221372E+022 -1.090927207220660E+022  9.093178399977637E+020 -4.304962896119112E+020  9.093178660761000E+020 -4.304963156902477E+020  3.989223162302474E+021  3.989223162302476E+021  2.892001699669108E-017  9.939233379573490E-018  8.952469486836249E-007
        29  2.900000000000000E+001 -5.644959595769435E-001  1.016187776201830E+000  1.554394269992140E-005  1.090972592744358E+022 -1.090893182743647E+022  9.092894959160872E+020 -4.304828635690001E+020  9.092895219924544E+020 -4.304828896453676E+020  3.989223162302474E+021  3.989223162302476E+021  3.044048688289449E-017  1.951609887551669E-017  9.272687064743691E-007
        29  2.900000000000000E+001 -5.644959595769435E-001  1.016187776201830E+000  1.554394269992140E-005  1.090972592744358E+022 -1.090893182743647E+022  9.092894959160872E+020 -4.304828635690001E+020  9.092895219924544E+020 -4.304828896453676E+020  3.989223162302474E+021  3.989223162302476E+021  3.044048688289449E-017  1.951609887551669E-017  9.272687064743691E-007
        30  3.000000000000000E+001 -5.644783559962894E-001  1.016156087083830E+000  1.554562272424935E-005  1.090938569328475E+022 -1.090859159327763E+022  9.092611527180557E+020 -4.304694379446923E+020  9.092611787924539E+020 -4.304694640190905E+020  3.989223162302474E+021  3.989223162302476E+021  3.179546146649078E-017  1.625478792284414E-017  9.592936043613700E-007
